name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through,candidate_inactive,inactive_election_years
"REYNOLDS, JOSEPH",S,Senate,REP,REPUBLICAN PARTY,SC,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-16 21:17:30,2019-04-02,2019-04-02,2019-04-02,S0SC00297,2020,f,
"WALSH, JOHN",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-04-16,2019-04-16,2019-04-16,S0CO00518,2020,f,
"MENENDEZ, ROBERT",S,Senate,DEM,DEMOCRATIC PARTY,NJ,00,0,"{00,00,00,00}","{2006,2012,2018,2024}","{2006,2008,2010,2012,2014,2016,2018,2020}",F,,,2019-02-25 21:15:37,2005-12-19,2018-11-15,2018-11-15,S6NJ00289,2024,f,
"SINEMA, KYRSTEN",S,Senate,DEM,DEMOCRATIC PARTY,AZ,00,0,"{00,00}","{2018,2024}","{2018,2020}",C,,,2019-08-27 21:08:34,2017-09-29,2019-08-27,2019-08-27,S8AZ00197,2024,f,
"TESTER, R. JON",S,Senate,DEM,DEMOCRATIC PARTY,MT,00,0,"{00,00,00,00}","{2006,2012,2018,2024}","{2006,2008,2010,2012,2014,2016,2018,2020}",F,I,Incumbent,2019-03-27 21:06:35,2005-05-27,2019-01-31,2019-01-31,S6MT00162,2024,f,
"HEINRICH, MARTIN",S,Senate,DEM,DEMOCRATIC PARTY,NM,00,0,"{00,00,00}","{2012,2018,2024}","{2012,2014,2016,2018,2020}",F,I,Incumbent,2019-04-01 21:06:00,2011-04-01,2019-01-17,2019-01-17,S2NM00088,2024,f,
"COCHRAN, THAD",S,Senate,REP,REPUBLICAN PARTY,MS,00,0,"{00,00,00,00,00,00,00,00}","{1978,1984,1990,1996,2002,2008,2014,2020}","{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,1978-05-19,2014-11-26,2014-11-26,S8MS00055,2020,t,{2020}
"JOHNSON, RONALD HAROLD",S,Senate,REP,REPUBLICAN PARTY,WI,00,0,"{00,00,00}","{2010,2016,2022}","{2010,2012,2014,2016,2018,2020}",F,I,Incumbent,2019-01-11 21:04:54,2010-05-10,2018-04-12,2018-04-12,S0WI00197,2022,f,
"WILLIAMS, ELAINE WHIGHAM",S,Senate,DEM,DEMOCRATIC PARTY,GA,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-10-09,2019-06-14,2018-10-18,S0GA00369,2020,f,
"CRAMER, KEVIN MR.",S,Senate,REP,REPUBLICAN PARTY,ND,00,0,"{00,00}","{2018,2024}","{2018,2020}",F,,,2019-03-27 21:06:35,2018-03-07,2018-12-11,2018-12-11,S8ND00120,2024,f,
"TOOMEY, PATRICK JOSEPH",S,Senate,REP,REPUBLICAN PARTY,PA,00,0,"{00,00,00,00}","{2004,2010,2016,2022}","{2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2003-02-28,2017-01-03,2017-01-03,S4PA00121,2022,f,
"WICKER, ROGER SEN.",S,Senate,REP,REPUBLICAN PARTY,MS,00,0,"{00,00,00,00}","{2008,2012,2018,2024}","{2008,2010,2012,2014,2016,2018,2020}",F,I,Incumbent,2019-05-21 21:11:30,2008-01-09,2019-04-18,2019-04-18,S8MS00196,2024,f,
"WILLIAMS, VICTOR KEITH",S,Senate,REP,REPUBLICAN PARTY,VA,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-25 21:14:37,2019-07-12,2019-07-12,2019-07-12,S0VA00120,2020,f,
"SCHUMER, CHARLES E",S,Senate,DEM,DEMOCRATIC PARTY,NY,00,0,"{00,00,00,00,00}","{1998,2004,2010,2016,2022}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,1997-08-26,2017-01-13,2017-01-13,S8NY00082,2022,f,
"FEINSTEIN, DIANNE",S,Senate,DEM,DEMOCRATIC PARTY,CA,00,0,"{00,00,00,00,00,00,00,00,00}","{1992,1994,1996,1998,2000,2006,2012,2018,2024}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",F,,,2019-02-15 22:03:20,1991-02-14,2018-12-06,2018-12-06,S0CA00199,2024,f,{1996}
"PERDUE, DAVID",S,Senate,REP,REPUBLICAN PARTY,GA,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-07-15 21:09:43,2013-08-22,2019-07-15,2019-07-15,S4GA11285,2020,f,
"PAUL, RAND",S,Senate,REP,REPUBLICAN PARTY,KY,00,0,"{00,00,00}","{2010,2016,2022}","{2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2009-05-19,2017-03-10,2017-03-10,S0KY00156,2022,f,
"OCEGUEDA, ADRIAN",S,Senate,DEM,DEMOCRATIC PARTY,TX,00,0,{00},{2020},{2020},N,C,Challenger,2019-02-13 21:28:01,2019-02-01,2019-02-01,2019-02-01,S0TX00225,2020,f,
"COONS, CHRISTOPHER A.",S,Senate,DEM,DEMOCRATIC PARTY,DE,00,0,"{00,00,00}","{2010,2014,2020}","{2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-03-30 21:05:37,2010-02-03,2019-03-30,2019-03-30,S0DE00092,2020,f,
"CRAPO, MICHAEL D",S,Senate,REP,REPUBLICAN PARTY,ID,00,0,"{00,00,00,00,00}","{1998,2004,2010,2016,2022}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,1997-10-29,2017-07-25,2017-07-25,S8ID00027,2022,f,
"CORNYN, JOHN SEN",S,Senate,REP,REPUBLICAN PARTY,TX,00,0,"{00,00,00,00}","{2002,2008,2014,2020}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-05-06 21:05:22,2001-09-14,2019-05-06,2019-05-06,S2TX00106,2020,f,
"FOSTER, JACK DANIEL MR JR",S,Senate,DEM,DEMOCRATIC PARTY,TX,00,0,{00},{2020},{2020},C,C,Challenger,2019-08-23 22:05:29,2019-07-22,2019-07-22,2019-07-22,S0TX00274,2020,f,
