name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,affiliated_committee_name,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
ROXANNE CONLIN FOR SENATE,"{2010,2012}",CYRIL ANN MANDELBAUM,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,IA,C00470153,{S0IA00127},2009-11-12,2012-07-12,2010-10-15
D'AMATO FOR SENATE,"{1986,1988}",JEFFREY D FORCHELLI,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,NY,C00197350,{S0NY00048},1985-08-16,1987-08-14,1985-08-16
BERT FOR SENATE,"{2018,2020}","MARSTON, CHRIS",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,VA,C00668822,{},2018-01-29,2019-07-11,2018-01-29
MICHAELSON FOR U S SENATE,"{1982,1984}",MICHAEL R TRUPPA,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,RI,C00148387,{S2RI00014},1982-01-06,1983-08-17,1982-01-06
98 FRIENDS OF CHRIS DODD,"{1996,1998,2000}",FRANK N ZULLO,S,Senate,T,A,Authorized by a candidate,,,,DEM,DEMOCRATIC PARTY,CT,C00303925,{S0CT00037},1995-06-27,1999-09-03,1999-02-04
BOB MCDANIEL FOR U S SENATE COMMITTEE,{1986},GUY TURNAGE,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,OR,C00193573,{},1985-01-03,1985-01-03,1985-01-03
THORNBURGH FOR SENATE COMMITTEE,"{1992,1994,1996,1998,2000,2002}",RAYMOND P DIMUZIO,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,PA,C00253732,{S2PA00109},1991-08-21,2002-11-20,1991-11-05
KAREN ROSEBERRY FOR SENATE,"{2016,2018}",PAULINE L SWARTZ,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CA,C00618090,{S6CA00923},2016-05-23,2018-04-26,2016-05-23
CHRIS REY FOR SENATE,{2016},BRITT COX,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NC,C00590711,{S6NC00282},2015-10-26,2016-10-19,2015-10-26
BEN SASSE FOR US SENATE INC,"{2014,2016,2018,2020}",STEVE RALLS,S,Senate,Q,P,Principal campaign committee,,,SASSE LEADERSHIP COMMITTEE,REP,REPUBLICAN PARTY,NE,C00547976,{S4NE00090},2013-08-02,2019-09-10,2016-10-13
COMMITTEE TO ELECT JOYCE DICKERSON FOR US SENATE,"{2014,2016}",JOYCE DICKERSON,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,SC,C00552091,{S4SC00307},2013-11-07,2016-09-30,2013-11-07
WELCH FOR WISCONSIN,"{2004,2006}",JOHN J HILLER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WI,C00388850,{S4WI00041},2003-07-24,2005-08-16,2003-07-24
GONYO FOR SENATE,{2008},CHARLES L GONYO,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,SD,C00447813,{S8SD00123},2008-03-28,2008-11-25,2008-03-28
